ID,Producto,Segmento,Categoría,Subcategoría,Tipo de cliente,Destino / uso,Tipo de crédito,Monto mínimo MXN,Monto máximo MXN,Financiamiento máx. %,Enganche mín. %,Plazo mín. meses,Plazo máx. meses,Tipo de tasa,Tasa desde % anual,CAT promedio %,Comisión principal,Moneda,¿Requiere ser cliente Banorte?,¿Requiere Nómina Banorte?,Ingreso mínimo mensual MXN,Edad mínima,Edad máxima,Antigüedad negocio mín. años,Historial crediticio,Garantía / aval,Documentos / requisitos principales,Beneficios clave,Pago anticipado,Seguros,Canales de contratación,Perfil objetivo,Variables útiles para recomendación,Estado del dato,Vigencia de tasas/CAT,Fuente oficial
AU006,Crédito de Auto Preferente,Persona Física Preferente,Automotriz,Auto preferente,Cliente Preferente,Compra de vehículo,Crédito automotriz,,,,,,,Fija,,,,MXN,Sí / Preferente,,,,,,Sujeto a evaluación,Vehículo financiado,Solicitud de crédito automotriz; identificación; domicilio; comprobación de ingresos,Condiciones y tasa preferentes para clientes de Banca Preferente; prepago sin penalización,Sí,Cobertura amplia requerida,Ejecutivo Preferente / sucursal,Cliente Preferente que busca financiamiento automotriz,segmento_preferente; ingreso; activos; score_crediticio; relacion_banorte,Producto vigente; tasa/CAT no publicados claramente en la página general,,https://www.banorte.com/Creditos-de-Auto/
HI001,Hipoteca Fuerte,Persona Física,Hipotecario,Adquisición de vivienda,Persona Física / PFAE según evaluación,Comprar vivienda nueva o usada,Crédito hipotecario tasa fija,,,95.0,,60.0,240.0,Fija,8.8,12.4,1% contratación en condiciones estándar; promociones pueden reducirla,MXN,,,,,,,Tasa y aprobación dependen del perfil crediticio,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Hasta 95% con Cofinavit; pagos anticipados sin penalización; vivienda nueva o usada,"Sí, sin penalización",Seguros asociados al crédito según esquema,Sucursal / asesor hipotecario,Cliente con ingreso estable que busca vivienda,ingreso; score_crediticio; enganche; valor_vivienda; relacion_deuda_ingreso; afiliacion_infonavit,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Adquisicion-de-Vivienda/Hipoteca-Fuerte.html
HI002,Hipoteca Fuerte Cero,Persona Física,Hipotecario,Adquisición de vivienda sin comisiones principales,Persona Física,Compra de vivienda nueva o usada,Crédito hipotecario tasa fija,,,90.0,,60.0,240.0,Fija,10.8,11.9,0% contratación; sin avalúo/preoriginación; sin administración diferida,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Sin comisiones principales ni costo de seguros asociados; Cofinavit hasta 95% según esquema,Sí,Sin costo de seguros asociados en cobertura indicada,Sucursal / asesor hipotecario,Cliente que prioriza reducir costos de originación,ingreso; score_crediticio; enganche; valor_vivienda; sensibilidad_comisiones,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Adquisicion-de-Vivienda/Hipoteca-Fuerte-Cero.html
HI003,Hipoteca Fuerte a tu Medida,Persona Física,Hipotecario,Adquisición con pagos crecientes,Persona Física,Adquisición de vivienda con esquema de pagos crecientes,Crédito hipotecario pagos crecientes,,,,,60.0,240.0,Fija,10.5,12.7,,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Esquema de pagos crecientes; posibilidad de Cofinavit/Apoyo Infonavit según condiciones,Consultar contrato,Seguros hipotecarios según esquema,Sucursal,Cliente que espera crecimiento futuro de ingresos y prefiere menor carga inicial,ingreso_actual; crecimiento_ingreso_esperado; score_crediticio; enganche; edad,Vigente / página oficial activa,Tasa/CAT publicados vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Adquisicion-de-Vivienda/Hipoteca-Fuerte-a-tu-Medida.html
HI004,Hipoteca Fuerte con Bonificación,Persona Física,Hipotecario,Adquisición / mejora con bonificación,Persona Física,Adquisición de vivienda o mejora de hipoteca,Crédito hipotecario tasa fija con bonificación,75000.0,,,,60.0,240.0,Fija,10.68,14.0,Referencia: 1% adquisición / 0% mejora de hipoteca,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,"Bonificación de una mensualidad como pago anticipado por cada 36 pagos puntuales, según condiciones",Sí,Seguros hipotecarios aplicables,Sucursal / asesor hipotecario,Cliente muy puntual que puede capturar beneficio por comportamiento de pago,historial_pagos; score_crediticio; estabilidad_ingreso; enganche; puntualidad,Producto listado actualmente; último folleto de costos localizado venció el 04-may-2026: verificar valores antes de decisión,Referencia vencida al 04-may-2026,https://www.banorte.com/wps/wcm/connect/banorte/081175d9-9a53-4e61-af4a-6652e7d5ce1f/LDT-Banorte-MXM.pdf?MOD=AJPERES
HI005,Hipoteca Verde Banorte,Persona Física,Hipotecario,Adquisición vivienda sustentable,Persona Física,Adquirir vivienda nueva o usada con certificación sustentable,Crédito hipotecario verde,,,90.0,,60.0,240.0,Fija,11.08,11.8,0% contratación y sin gastos de preoriginación principales,MXN,,,10000.0,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; vivienda con certificación EDGE o LEED aceptada,Sin costo de seguros asociados; sin avalúo/preoriginación; Cofinavit hasta 95%; enfoque sustentable,"Sí, sin penalización",Cobertura mínima pagada por banco según condiciones,Sucursal / asesor hipotecario,Cliente que busca vivienda sustentable certificada,ingreso; score_crediticio; certificacion_vivienda; enganche; preferencia_sustentable,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Creditos-Hipotecarios/Adquisicion-de-Vivienda/Hipoteca-Verde-Banorte
HI006,Hipoteca Simple Banorte,Persona Física,Hipotecario,Adquisición vivienda para asalariados,Persona Física asalariada sin actividad empresarial,Compra de vivienda,Crédito hipotecario tasa fija,75000.0,3000000.0,70.0,30.0,60.0,240.0,Fija,9.2,11.4,1% contratación,MXN,,,,,,,Perfil estable y capacidad de pago comprobada,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Tasa única; hasta $3 millones; esquema simple para asalariados; beneficios con Apoyo Infonavit,Consultar contrato / oferta vinculante,Seguros hipotecarios aplicables,Sucursal,Asalariado con ahorro suficiente para enganche alto,ingreso; empleo_asalariado; ahorro_enganche; score_crediticio; valor_vivienda,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Hipoteca-Simple-Banorte.html
HI007,Desarrollador Fuerte,Persona Física,Hipotecario,Adquisición con desarrolladores afiliados,Persona Física,Compra de vivienda con desarrolladores participantes,Crédito hipotecario,,,,,,240.0,Fija,9.0,11.3,,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Condiciones/promociones ligadas a Desarrolladores Fuertes; sin penalización por prepago,"Sí, sin penalización",Según esquema,Desarrollador / sucursal,Comprador de vivienda en proyecto de desarrollador participante,proyecto_desarrollador; ingreso; score_crediticio; enganche; valor_vivienda,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Personal/Creditos-Hipotecarios/Desarrolladores-Fuertes.html
HI008,Preventa,Persona Física,Hipotecario,Compra en preventa / terminación de obra,Persona Física,Comprar vivienda durante construcción / terminación de obra,Crédito hipotecario,,,,,,240.0,Fija,8.8,12.4,1% contratación (condiciones estándar),MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Permite planear compra desde etapa de construcción; pagos anticipados sin penalización,Sí,Según esquema,Sucursal / desarrollador,Cliente que compra vivienda en preventa,fecha_entrega; ingreso; score_crediticio; enganche; desarrollador,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Personal/Creditos-Hipotecarios/Preventa.html
HI009,FOVISSSTE Para Todos,Persona Física,Hipotecario,Cofinanciamiento FOVISSSTE,Derechohabiente activo ISSSTE,Adquisición de vivienda nueva o usada,Hipotecario cofinanciado con FOVISSSTE,,,95.0,,60.0,300.0,Fija,9.5,11.2,Sin comisión por contratación y sin gastos de preoriginación indicados,MXN,,,,,,,Autorización para consulta de historial; sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación; domicilio; recibos nómina; CURP; constancia fiscal; expediente ISSSTE; estado Afore; autorización Buró,"Hasta 95% financiamiento; plazos 5,10,15,20,25 años; segundo crédito por ingresos adicionales","Sí, sin comisión; reduce plazo",Según esquema FOVISSSTE/Banorte,Sucursal,Trabajador activo afiliado al ISSSTE,afiliacion_issste; meses_cotizacion; ingreso_nomina; score_crediticio; saldo_subcuenta_vivienda,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/FOVISSSTE-Para-Todos.html
HI010,Hipoteca Fuerte Compra de Terreno,Persona Física,Hipotecario,Compra de terreno,Persona Física,Compra de terreno urbanizado/habitacional,Crédito hipotecario,,,,,60.0,180.0,Fija,10.18,12.7,Según esquema hipotecario; consultar oferta,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre terreno,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Plazos de 5 a 15 años; tasa fija; pagos anticipados sin penalización,Sí,Según esquema,Sucursal,Cliente que quiere adquirir terreno antes de construir,ingreso; score_crediticio; valor_terreno; enganche; uso_habitacional,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Creditos-Hipotecarios/Construccion-y-Remodelacion/Hipoteca-Fuerte-Banorte-Compra-de-Terreno.html
HI011,Hipoteca Fuerte Construcción,Persona Física,Hipotecario,Construcción,Persona Física,Construcción de vivienda sobre terreno,Crédito hipotecario para construcción,,,,,,240.0,Fija,8.8,12.4,1% contratación,MXN,,,,,,,Sujeto a aprobación,Hipoteca / inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación del terreno y proyecto de construcción,Financia construcción; tasa fija; opción Apoyo Infonavit según condiciones,Sí según contrato,Según esquema,Sucursal,Propietario de terreno que desea construir vivienda,propiedad_terreno; presupuesto_obra; ingreso; score_crediticio; avance_proyecto,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Creditos-Hipotecarios/Construccion-y-Remodelacion/Hipoteca-Fuerte-Banorte-Construccion.html
HI012,Hipoteca Fuerte Terreno + Construcción,Persona Física,Hipotecario,Adquisición de terreno más construcción,Persona Física,Comprar terreno y financiar construcción,Crédito hipotecario combinado,,,,,,240.0,Fija,8.8,12.4,1% contratación,MXN,,,,,,,Sujeto a aprobación,Hipoteca,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación del terreno/proyecto,Integra compra de terreno y construcción en un esquema hipotecario,Consultar oferta,Según esquema,Sucursal,Cliente que aún no tiene terreno y quiere construir,ingreso; score_crediticio; valor_terreno; presupuesto_obra; enganche,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Construccion-y-Remodelacion/Hipoteca-Fuerte-Banorte-Adquisicion-de-Terreno-mas-Construccion.html
HI013,Hipoteca Fuerte Remodelación,Persona Física,Hipotecario,Remodelación,Persona Física propietaria,Remodelar vivienda,Crédito hipotecario para remodelación,,,30.0,,60.0,240.0,Fija,8.8,12.4,1% contratación,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre vivienda,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos,Hasta 30% del valor del avalúo; plazos 5-20 años,Consultar oferta,Según esquema,Sucursal,Propietario que necesita inversión relevante en renovación,valor_inmueble; costo_remodelacion; ingreso; score_crediticio; deuda_hipotecaria_actual,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Creditos-Hipotecarios/Construccion-y-Remodelacion/Hipoteca-Fuerte-Banorte-Remodelacion.html
HI014,Hipoteca Fuerte Mejora de Hipoteca,Persona Física,Hipotecario,Pago de pasivo / sustitución hipotecaria,Persona Física con hipoteca en otra institución,Transferir/pagar hipoteca de otro banco,Crédito hipotecario para mejora de condiciones,,,,,,240.0,Fija,8.8,12.4,,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; estado de cuenta/carta saldo del crédito actual,Permite transferir pasivo hipotecario; posibilidad de mejorar condiciones,Sí según esquema,Según esquema,Sucursal,Cliente con hipoteca vigente en otra institución y buen historial,tasa_hipoteca_actual; saldo_insoluto; score_crediticio; ingreso; plazo_restante,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Mejora-de-Hipoteca/Hipoteca-Fuerte-Banorte-Pago-de-Pasivo-Hipotecario-con-otras-Instituciones.html
HI015,Hipoteca Fuerte Mejora + Remodelación,Persona Física,Hipotecario,Mejora de hipoteca + remodelación,Persona Física con hipoteca en otra institución,Transferir hipoteca y obtener monto adicional para remodelar,Crédito hipotecario combinado,,,85.0,,60.0,240.0,Fija,8.8,12.4,0% comisión por contratación,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación de hipoteca actual,Transfiere pasivo y entrega monto adicional de remodelación; hasta 85% avalúo,Sí según oferta,Según esquema,Sucursal,Cliente que desea refinanciar y remodelar simultáneamente,saldo_hipoteca; tasa_actual; costo_remodelacion; valor_inmueble; score_crediticio,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Mejora-de-Hipoteca/Hipoteca-Fuerte-Banorte-Mejora-de-Hipoteca-mas-Remodelacion.html
HI016,Mejora de Hipoteca + Liquidez,Persona Física,Hipotecario,Refinanciamiento + liquidez,Persona Física con hipoteca,Mejorar hipoteca y recibir liquidez adicional,Crédito hipotecario combinado,,,,,,240.0,Fija,8.8,12.9,,MXN,,,,,,,Sujeto a aprobación,Hipoteca sobre inmueble,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación de hipoteca actual,Refinancia pasivo y permite liquidez adicional con garantía hipotecaria,Según oferta,Según esquema,Sucursal,Cliente con patrimonio inmobiliario que desea mejorar deuda y obtener efectivo,saldo_hipoteca; valor_inmueble; ingreso; score_crediticio; necesidad_liquidez,Vigente / página oficial activa,"CAT mejora 12.9% y liquidez 11.8%, vigentes al 04-oct-2026",https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Mejora-de-Hipoteca/Mejora-de-Hipoteca-mas-Liquidez.html
HI017,Hipoteca Verde Mejora de Hipoteca,Persona Física,Hipotecario,Mejora de hipoteca sustentable,Persona Física,Transferir hipoteca de vivienda sustentable elegible,Crédito hipotecario verde / mejora,,,,,,240.0,Fija,11.08,11.8,,MXN,,,,,,,Sujeto a aprobación,Hipoteca,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación de crédito actual y certificación cuando aplique,Condiciones verdes; sin penalización por pagos anticipados según producto,Sí,Según condiciones de Hipoteca Verde,Sucursal,Cliente con vivienda sustentable que desea transferir hipoteca,certificacion_vivienda; tasa_actual; saldo_hipoteca; score_crediticio; ingreso,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Mejora-de-Hipoteca/Hipoteca-Verde-Banorte-Mejora-de-Hipoteca.html
HI018,Hipoteca Fuerte Cero Mejora de Hipoteca,Persona Física,Hipotecario,Mejora de hipoteca sin comisiones principales,Persona Física,Transferir hipoteca buscando reducir costos de originación,Crédito hipotecario,,,,,,240.0,Fija,10.8,11.9,0% contratación; esquema Cero,MXN,,,,,,,Sujeto a aprobación,Hipoteca,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación de hipoteca vigente,Versión Cero para mejora de hipoteca; menor costo de originación,Sí según producto,Según esquema Cero,Sucursal,Cliente que desea refinanciar minimizando comisiones iniciales,tasa_actual; saldo_hipoteca; sensibilidad_comisiones; score_crediticio; ingreso,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://gfb20194k4k0n4-www.banorte.com/Creditos-Hipotecarios/Mejora-de-Hipoteca/Hipoteca-Fuerte-Cero-Banorte-Mejora-de-Hipoteca.html
HI019,Crédito Hipotecario Liquidez,Persona Física,Hipotecario,Liquidez con garantía hipotecaria,Persona Física sin actividad empresarial,Obtener efectivo dejando vivienda en garantía,Crédito hipotecario de liquidez,,,70.0,,60.0,180.0,Fija,12.99,17.1,,MXN,,,,,,,Sujeto a aprobación,Casa habitación en garantía,Solicitud; identificación oficial vigente; comprobante de domicilio <=3 meses; comprobante de ingresos; documentación del inmueble,Hasta 70% del valor de vivienda; uso libre de recursos; pagos fijos,Consultar oferta,Seguros hipotecarios según esquema,Sucursal,Propietario con patrimonio inmobiliario que necesita liquidez relevante,valor_inmueble; deuda_actual; ingreso; score_crediticio; necesidad_liquidez,Vigente / página oficial activa,Tasa/CAT vigentes al 04-oct-2026,https://www.banorte.com/Creditos-Hipotecarios/Credito-Hipotecario-Liquidez.html
