cliente_id,mes,etiqueta,ingreso_mxn,gastos_mxn,ahorro_mxn,ahorro_acumulado_mxn,saldo_tarjeta_mxn,uso_limite_pct,score_crediticio,pagos_atrasados
CLI006,2026-02,Feb,7070,6274,796,5787,0,0.0,628,0
CLI006,2026-03,Mar,7112,6434,678,5992,0,0.0,618,1
CLI006,2026-04,Abr,7459,6394,1064,6313,0,0.0,615,0
CLI006,2026-05,May,7272,6458,814,6558,0,0.0,614,0
CLI006,2026-06,Jun,7450,7157,293,6646,0,0.0,617,0
CLI006,2026-07,Jul,7270,7018,252,6722,0,0.0,614,0
CLI006,2026-08,Ago,7259,6597,662,6922,0,0.0,612,0
CLI007,2026-01,Ene,593590,501718,91872,124755,0,0.0,762,0
CLI007,2026-02,Feb,591628,487804,103824,130598,0,0.0,764,0
CLI007,2026-03,Mar,582125,513673,68452,134451,0,0.0,766,0
CLI007,2026-04,Abr,601273,554153,47120,137103,0,0.0,763,0
CLI007,2026-05,May,587485,529816,57669,140348,0,0.0,761,0
CLI007,2026-06,Jun,573989,536075,37914,142482,0,0.0,747,1
CLI007,2026-07,Jul,589555,503101,86454,147347,0,0.0,747,0
CLI007,2026-08,Ago,588540,527956,60584,150757,0,0.0,747,0
CLI008,2026-01,Ene,19924,13570,6353,27293,0,0.0,760,0
CLI008,2026-02,Feb,19613,11809,7804,30632,0,0.0,759,0
CLI008,2026-03,Mar,20343,12246,8097,34097,0,0.0,751,1
CLI008,2026-04,Abr,20330,12870,7461,37289,0,0.0,751,0
CLI008,2026-05,May,20022,12201,7821,40636,0,0.0,751,0
CLI008,2026-06,Jun,20251,12447,7805,43976,0,0.0,752,0
CLI008,2026-07,Jul,20249,13815,6433,46728,0,0.0,753,0
CLI008,2026-08,Ago,20040,12752,7288,49847,0,0.0,749,0
CLI009,2026-01,Ene,27948,17758,10190,24016,5742,35.8,697,0
CLI009,2026-02,Feb,27604,17833,9772,25878,6032,37.6,702,0
CLI009,2026-03,Mar,28617,17780,10837,27943,6206,38.7,706,0
CLI009,2026-04,Abr,27437,16929,10507,29946,6465,40.3,712,0
CLI009,2026-05,May,27886,18128,9758,31805,6162,38.4,716,0
CLI009,2026-06,Jun,27934,16573,11361,33971,6374,39.7,717,0
CLI009,2026-07,Jul,27515,16879,10637,35998,6163,38.4,718,0
CLI009,2026-08,Ago,28007,17344,10663,38030,6081,37.9,723,0
CLI010,2026-01,Ene,24862,24165,697,10289,0,0.0,728,0
CLI010,2026-02,Feb,24413,23688,725,10336,0,0.0,731,0
CLI010,2026-03,Mar,25096,22056,3041,10531,0,0.0,734,0
CLI010,2026-04,Abr,24329,24043,286,10549,0,0.0,738,0
CLI010,2026-05,May,24301,23084,1217,10628,0,0.0,745,0
CLI010,2026-06,Jun,24148,23072,1076,10697,0,0.0,750,0
CLI010,2026-07,Jul,24389,20409,3980,10953,0,0.0,755,0
CLI010,2026-08,Ago,24461,22284,2177,11093,0,0.0,756,0
CLI011,2026-01,Ene,14701,8655,6046,3436,0,0.0,578,0
CLI011,2026-02,Feb,14477,8479,5998,3882,0,0.0,580,0
CLI011,2026-03,Mar,14329,8528,5801,4313,0,0.0,586,0
CLI011,2026-04,Abr,14645,9288,5357,4711,0,0.0,590,0
CLI011,2026-05,May,14896,8898,5998,5157,0,0.0,590,0
CLI011,2026-06,Jun,14678,8679,5998,5603,0,0.0,596,0
CLI011,2026-07,Jul,14544,8594,5950,6045,0,0.0,603,0
CLI011,2026-08,Ago,14673,8568,6105,6499,0,0.0,606,0
CLI012,2026-01,Ene,32139,17201,14938,6271,33709,76.2,577,0
CLI012,2026-02,Feb,31889,18680,13209,7047,34500,78.0,574,0
CLI012,2026-03,Mar,32799,18540,14259,7885,34665,78.4,577,0
CLI012,2026-04,Abr,33112,17423,15689,8807,37413,84.6,580,0
CLI012,2026-05,May,32171,17931,14240,9644,38122,86.2,580,0
CLI012,2026-06,Jun,32847,18159,14688,10507,39764,89.9,577,0
CLI012,2026-07,Jul,31893,20182,11711,11195,41935,94.9,578,0
CLI012,2026-08,Ago,32275,18703,13572,11993,41866,94.7,580,0
CLI013,2026-01,Ene,33238,30090,3148,36512,44520,81.6,835,0
CLI013,2026-02,Feb,33233,31168,2065,36961,42165,77.3,835,0
CLI013,2026-03,Mar,34221,32450,1771,37345,43481,79.7,837,0
CLI013,2026-04,Abr,33438,30267,3171,38033,44703,81.9,822,1
CLI013,2026-05,May,33307,31983,1323,38321,42399,77.7,825,0
CLI013,2026-06,Jun,33490,27744,5746,39568,44279,81.2,823,0
CLI013,2026-07,Jul,32967,27857,5110,40677,42954,78.7,821,0
CLI013,2026-08,Ago,33486,29999,3487,41434,43314,79.4,817,0
CLI014,2026-01,Ene,92812,62440,30372,113601,0,0.0,617,0
CLI014,2026-02,Feb,95857,68166,27692,123381,0,0.0,616,0
CLI014,2026-03,Mar,93112,62629,30483,134148,0,0.0,613,0
CLI014,2026-04,Abr,93000,69358,23642,142498,0,0.0,612,0
CLI014,2026-05,May,96167,67397,28770,152660,0,0.0,614,0
CLI014,2026-06,Jun,94596,70317,24279,161235,0,0.0,617,0
CLI014,2026-07,Jul,94941,64570,30370,171962,0,0.0,609,1
CLI014,2026-08,Ago,95428,67812,27616,181716,0,0.0,609,0
CLI015,2026-01,Ene,13585,8838,4747,729,0,0.0,705,0
CLI015,2026-02,Feb,13495,8157,5338,819,0,0.0,708,0
CLI015,2026-03,Mar,13827,8413,5414,910,0,0.0,709,0
CLI015,2026-04,Abr,14034,7464,6570,1020,0,0.0,698,1
CLI015,2026-05,May,13822,8791,5032,1105,0,0.0,696,0
CLI015,2026-06,Jun,14027,7696,6331,1211,0,0.0,697,0
CLI015,2026-07,Jul,14100,8540,5560,1305,0,0.0,697,0
CLI015,2026-08,Ago,13755,8154,5601,1399,0,0.0,700,0
CLI016,2026-01,Ene,19869,11591,8278,2171,7063,36.3,729,0
CLI016,2026-02,Feb,20424,11808,8616,2427,6995,36.0,735,0
CLI016,2026-03,Mar,19892,12820,7072,2637,7213,37.1,738,0
CLI016,2026-04,Abr,20591,13301,7290,2853,7641,39.3,738,0
CLI016,2026-05,May,19795,11210,8585,3107,7408,38.1,741,0
CLI016,2026-06,Jun,19473,11925,7548,3331,7440,38.2,746,0
CLI016,2026-07,Jul,20523,12678,7845,3564,7472,38.4,750,0
CLI016,2026-08,Ago,20008,12290,7718,3793,7530,38.7,755,0
CLI017,2026-01,Ene,83868,70853,13015,35076,36773,45.5,768,0
CLI017,2026-02,Feb,84639,79573,5066,35563,35845,44.3,772,0
CLI017,2026-03,Mar,87213,79164,8049,36337,35233,43.6,779,0
CLI017,2026-04,Abr,84918,70992,13926,37676,33322,41.2,781,0
CLI017,2026-05,May,85907,71052,14855,39104,31783,39.3,782,0
CLI017,2026-06,Jun,85564,69780,15783,40622,33260,41.1,788,0
CLI017,2026-07,Jul,84196,74559,9637,41548,34492,42.6,793,0
CLI017,2026-08,Ago,86172,74607,11565,42660,35435,43.8,796,0
CLI018,2026-01,Ene,37201,31179,6023,23539,3735,20.2,546,0
CLI018,2026-02,Feb,36125,29655,6471,24318,3857,20.9,553,0
CLI018,2026-03,Mar,36129,31830,4299,24836,3764,20.4,554,0
CLI018,2026-04,Abr,36877,26910,9967,26037,3728,20.2,560,0
CLI018,2026-05,May,37197,31478,5720,26727,3833,20.8,561,0
CLI018,2026-06,Jun,37061,28944,8117,27705,3621,19.6,565,0
CLI018,2026-07,Jul,36718,30892,5826,28407,3534,19.1,568,0
CLI018,2026-08,Ago,36500,29435,7065,29258,3562,19.3,571,0
CLI019,2026-01,Ene,19384,13059,6324,3892,6566,56.0,796,1
CLI019,2026-02,Feb,18605,12999,5606,4319,6706,57.2,799,0
CLI019,2026-03,Mar,18933,13092,5841,4764,6933,59.1,795,0
CLI019,2026-04,Abr,19634,13850,5784,5205,6738,57.5,794,0
CLI019,2026-05,May,18718,12807,5912,5655,6662,56.8,792,0
CLI019,2026-06,Jun,19052,13054,5998,6112,6452,55.0,791,0
CLI019,2026-07,Jul,19665,13010,6655,6619,6360,54.2,788,0
CLI019,2026-08,Ago,19163,14007,5156,7012,6146,52.4,788,0
CLI020,2026-01,Ene,13489,8782,4708,2470,0,0.0,728,0
CLI020,2026-02,Feb,13134,8924,4210,2690,0,0.0,728,0
CLI020,2026-03,Mar,13528,8888,4640,2934,0,0.0,727,0
CLI020,2026-04,Abr,13729,8367,5362,3215,0,0.0,728,0
CLI020,2026-05,May,13729,9462,4267,3438,0,0.0,724,0
CLI020,2026-06,Jun,13281,8996,4286,3663,0,0.0,726,0
CLI020,2026-07,Jul,13660,9500,4160,3881,0,0.0,723,0
CLI020,2026-08,Ago,13487,8729,4758,4130,0,0.0,711,1
CLI021,2026-01,Ene,305484,193252,112232,69199,160515,71.3,738,1
CLI021,2026-02,Feb,291015,182842,108174,77027,155675,69.2,737,0
CLI021,2026-03,Mar,296712,179525,117187,85507,157871,70.1,733,0
CLI021,2026-04,Abr,295747,166330,129417,94873,163442,72.6,730,0
CLI021,2026-05,May,292537,174411,118126,103421,169946,75.5,734,0
CLI021,2026-06,Jun,306909,195414,111495,111489,163745,72.8,734,0
CLI021,2026-07,Jul,291279,167462,123818,120449,159268,70.8,731,0
CLI021,2026-08,Ago,299808,181649,118159,129000,159790,71.0,729,0
CLI022,2026-01,Ene,311531,240809,70721,64834,262939,54.9,707,0
CLI022,2026-02,Feb,299296,234151,65145,67711,271070,56.6,709,0
CLI022,2026-03,Mar,311447,256817,54630,70124,285624,59.6,709,0
CLI022,2026-04,Abr,302629,233711,68918,73169,286063,59.7,697,1
CLI022,2026-05,May,311096,253198,57898,75726,272748,56.9,694,0
CLI022,2026-06,Jun,313258,227161,86096,79529,267670,55.9,691,0
CLI022,2026-07,Jul,310208,246533,63675,82342,279067,58.3,687,0
CLI022,2026-08,Ago,306879,242738,64141,85175,272082,56.8,687,0
CLI023,2026-01,Ene,10966,9380,1586,7928,5341,28.8,648,0
CLI023,2026-02,Feb,10432,8964,1468,8317,5216,28.1,654,0
CLI023,2026-03,Mar,10943,9684,1259,8651,5077,27.4,655,0
CLI023,2026-04,Abr,10697,8726,1971,9173,5133,27.7,659,0
CLI023,2026-05,May,10725,9203,1521,9576,5153,27.8,663,0
CLI023,2026-06,Jun,10456,9681,775,9781,5201,28.0,666,0
CLI023,2026-07,Jul,10896,8204,2692,10495,5157,27.8,670,0
CLI023,2026-08,Ago,10708,8993,1715,10949,4988,26.9,671,0
CLI024,2026-01,Ene,773786,710433,63353,193360,0,0.0,746,0
CLI024,2026-02,Feb,812775,687337,125438,204937,0,0.0,751,0
CLI024,2026-03,Mar,770173,766544,3629,205272,0,0.0,753,0
CLI024,2026-04,Abr,790080,695506,94574,214000,0,0.0,758,0
CLI024,2026-05,May,778669,714975,63694,219878,0,0.0,764,0
CLI024,2026-06,Jun,799681,699147,100534,229156,0,0.0,766,0
CLI024,2026-07,Jul,809612,708564,101049,238482,0,0.0,769,0
CLI024,2026-08,Ago,792346,714945,77401,245625,0,0.0,773,0
CLI025,2026-01,Ene,1986071,1212122,773949,26042,0,0.0,707,0
CLI025,2026-02,Feb,1944778,1209069,735709,28737,0,0.0,710,0
CLI025,2026-03,Mar,1884794,1207630,677164,31217,0,0.0,712,0
CLI025,2026-04,Abr,1959442,1215146,744295,33943,0,0.0,716,0
CLI025,2026-05,May,1948261,1367111,581150,36072,0,0.0,715,0
CLI025,2026-06,Jun,1947607,1196602,751006,38822,0,0.0,700,1
CLI025,2026-07,Jul,1947756,1201943,745813,41554,0,0.0,698,0
CLI025,2026-08,Ago,1931898,1295257,636641,43886,0,0.0,698,0
CLI026,2026-01,Ene,36220,31619,4601,18360,11343,18.4,675,0
CLI026,2026-02,Feb,36893,31895,4997,19478,11260,18.3,679,0
CLI026,2026-03,Mar,37310,30933,6377,20904,11734,19.1,682,0
CLI026,2026-04,Abr,36813,29027,7786,22646,11335,18.4,682,0
CLI026,2026-05,May,37468,28787,8681,24588,11474,18.6,685,0
CLI026,2026-06,Jun,37458,31754,5704,25864,11768,19.1,686,0
CLI026,2026-07,Jul,37387,29965,7422,27524,11166,18.1,692,0
CLI026,2026-08,Ago,36645,29268,7377,29174,11198,18.2,693,0
CLI027,2026-01,Ene,19369,10696,8674,10570,0,0.0,707,0
CLI027,2026-02,Feb,18694,11608,7086,11649,0,0.0,710,0
CLI027,2026-03,Mar,18716,11199,7517,12793,0,0.0,713,0
CLI027,2026-04,Abr,19407,11037,8370,14068,0,0.0,716,0
CLI027,2026-05,May,19005,9864,9142,15459,0,0.0,720,0
CLI027,2026-06,Jun,19268,10960,8308,16724,0,0.0,726,0
CLI027,2026-07,Jul,19118,11492,7626,17885,0,0.0,730,0
CLI027,2026-08,Ago,19174,10795,8379,19161,0,0.0,737,0
CLI028,2026-01,Ene,35089,27727,7362,7927,0,0.0,710,0
CLI028,2026-02,Feb,35813,25923,9889,8342,0,0.0,707,0
CLI028,2026-03,Mar,35494,28255,7238,8645,0,0.0,704,0
CLI028,2026-04,Abr,34525,25857,8667,9008,0,0.0,706,0
CLI028,2026-05,May,34649,28432,6217,9268,0,0.0,692,1
CLI028,2026-06,Jun,35089,26506,8583,9628,0,0.0,689,0
CLI028,2026-07,Jul,35894,26729,9165,10011,0,0.0,689,0
CLI028,2026-08,Ago,34955,26463,8492,10367,0,0.0,686,0
CLI029,2026-01,Ene,88583,67726,20858,14618,327806,65.5,743,0
CLI029,2026-02,Feb,84138,74336,9801,15325,335509,67.1,741,0
CLI029,2026-03,Mar,86734,68861,17873,16615,343753,68.7,741,0
CLI029,2026-04,Abr,83786,74373,9413,17294,330817,66.1,743,0
CLI029,2026-05,May,87579,73457,14122,18314,323333,64.6,739,0
CLI029,2026-06,Jun,86086,72968,13118,19260,331873,66.3,741,0
CLI029,2026-07,Jul,84231,75864,8368,19864,337506,67.5,743,0
CLI029,2026-08,Ago,86272,73564,12708,20781,319723,63.9,742,0
CLI030,2026-01,Ene,1246,936,310,570,5237,61.9,698,0
CLI030,2026-02,Feb,1221,948,273,605,5306,62.8,697,0
CLI030,2026-03,Mar,1233,962,271,640,5072,60.0,693,0
CLI030,2026-04,Abr,1230,922,308,680,4956,58.6,691,0
CLI030,2026-05,May,1228,923,305,719,5171,61.2,694,0
CLI030,2026-06,Jun,1230,1025,205,746,4920,58.2,690,0
CLI030,2026-07,Jul,1195,882,314,786,5022,59.4,682,1
CLI030,2026-08,Ago,1221,961,260,820,5258,62.2,683,0
CLI031,2026-01,Ene,28217,25826,2392,20023,0,0.0,720,0
CLI031,2026-02,Feb,28716,26078,2638,20370,0,0.0,707,1
CLI031,2026-03,Mar,28168,24899,3269,20801,0,0.0,707,0
CLI031,2026-04,Abr,28394,28503,-109,20801,0,0.0,710,0
CLI031,2026-05,May,27517,25421,2095,21077,0,0.0,711,0
CLI031,2026-06,Jun,28834,28788,46,21083,0,0.0,714,0
CLI031,2026-07,Jul,27616,25269,2346,21392,0,0.0,714,0
CLI031,2026-08,Ago,28207,26645,1562,21598,0,0.0,712,0
CLI032,2026-01,Ene,15567,13878,1689,3929,6339,29.8,488,0
CLI032,2026-02,Feb,15696,14111,1584,4053,6462,30.4,489,0
CLI032,2026-03,Mar,15864,12857,3007,4287,6639,31.2,491,0
CLI032,2026-04,Abr,15209,12988,2221,4460,6614,31.1,491,0
CLI032,2026-05,May,15921,14255,1666,4590,6807,32.0,496,0
CLI032,2026-06,Jun,15432,13153,2279,4767,6608,31.0,500,0
CLI032,2026-07,Jul,15788,14697,1091,4852,6952,32.7,507,0
CLI032,2026-08,Ago,15618,13699,1919,5002,7239,34.0,509,0
CLI033,2026-01,Ene,5822,4809,1013,2248,0,0.0,759,1
CLI033,2026-02,Feb,5660,4574,1085,2331,0,0.0,755,0
CLI033,2026-03,Mar,5698,4211,1486,2444,0,0.0,751,0
CLI033,2026-04,Abr,5793,4188,1605,2566,0,0.0,755,0
CLI033,2026-05,May,5736,4345,1390,2672,0,0.0,758,0
CLI033,2026-06,Jun,5652,4897,755,2730,0,0.0,757,0
CLI033,2026-07,Jul,5620,4497,1123,2816,0,0.0,756,0
CLI033,2026-08,Ago,5751,4567,1184,2906,0,0.0,756,0
CLI034,2026-01,Ene,425190,280477,144713,220571,0,0.0,778,0
CLI034,2026-02,Feb,418914,277706,141208,246872,0,0.0,782,0
CLI034,2026-03,Mar,413181,272102,141079,273149,0,0.0,788,0
CLI034,2026-04,Abr,411662,258187,153475,301735,0,0.0,793,0
CLI034,2026-05,May,414428,285590,128838,325733,0,0.0,797,0
CLI034,2026-06,Jun,413305,244548,168757,357165,0,0.0,799,0
CLI034,2026-07,Jul,411133,259528,151605,385403,0,0.0,801,0
CLI034,2026-08,Ago,423021,266769,156252,414506,0,0.0,807,0
CLI035,2026-01,Ene,1699573,1237850,461723,504282,157452,31.5,736,0
CLI035,2026-02,Feb,1723635,1300099,423536,553627,161436,32.3,732,0
CLI035,2026-03,Mar,1716304,1307098,409206,601302,158671,31.7,735,0
CLI035,2026-04,Abr,1735516,1179261,556255,666109,147606,29.5,737,0
CLI035,2026-05,May,1706299,1324096,382203,710638,153184,30.6,734,0
CLI035,2026-06,Jun,1646999,1174256,472742,765715,149751,29.9,726,1
CLI035,2026-07,Jul,1699752,1237884,461869,819526,142343,28.5,722,0
CLI035,2026-08,Ago,1689308,1265064,424244,868953,138502,27.7,719,0
CLI036,2026-01,Ene,25607,19862,5745,5146,0,0.0,702,0
CLI036,2026-02,Feb,26686,16944,9741,5801,0,0.0,700,0
CLI036,2026-03,Mar,25805,19252,6553,6242,0,0.0,695,0
CLI036,2026-04,Abr,26786,19311,7475,6744,0,0.0,692,0
CLI036,2026-05,May,25508,20044,5465,7112,0,0.0,676,1
CLI036,2026-06,Jun,26973,16972,10001,7784,0,0.0,673,0
CLI036,2026-07,Jul,26303,17081,9222,8404,0,0.0,653,1
CLI036,2026-08,Ago,26273,18450,7823,8930,0,0.0,645,0
CLI037,2026-01,Ene,167068,124702,42366,26268,180265,70.6,497,0
CLI037,2026-02,Feb,175630,126804,48826,28983,189184,74.1,494,0
CLI037,2026-03,Mar,168781,110436,58345,32229,203852,79.8,496,0
CLI037,2026-04,Abr,169223,119730,49493,34982,202457,79.3,498,0
CLI037,2026-05,May,174235,124502,49733,37748,216623,84.8,500,0
CLI037,2026-06,Jun,166485,128983,37502,39834,238142,93.3,500,0
CLI037,2026-07,Jul,171401,111428,59973,43170,239763,93.9,498,0
CLI037,2026-08,Ago,170753,119023,51730,46047,255307,100.0,499,0
CLI038,2026-01,Ene,18865,15999,2866,2600,2931,26.4,532,0
CLI038,2026-02,Feb,19178,16550,2629,2704,3110,28.1,524,0
CLI038,2026-03,Mar,18139,14964,3175,2830,3167,28.6,522,0
CLI038,2026-04,Abr,18981,16077,2904,2945,3150,28.4,515,0
CLI038,2026-05,May,18239,16371,1868,3019,3152,28.4,495,1
CLI038,2026-06,Jun,18655,14613,4042,3179,3269,29.5,475,1
CLI038,2026-07,Jul,19038,16728,2310,3270,3447,31.1,461,2
CLI038,2026-08,Ago,18676,15780,2896,3385,3502,31.6,449,1
CLI039,2026-01,Ene,48349,38007,10342,16951,0,0.0,762,0
CLI039,2026-02,Feb,47212,34629,12582,18579,0,0.0,759,0
CLI039,2026-03,Mar,46801,39552,7249,19518,0,0.0,756,0
CLI039,2026-04,Abr,47336,38120,9216,20710,0,0.0,744,1
CLI039,2026-05,May,46785,36929,9856,21986,0,0.0,746,0
CLI039,2026-06,Jun,47343,38515,8828,23129,0,0.0,743,0
CLI039,2026-07,Jul,47469,40451,7017,24037,0,0.0,747,0
CLI039,2026-08,Ago,47753,38011,9742,25298,0,0.0,745,0
CLI040,2026-01,Ene,10260,7442,2818,4476,0,0.0,549,0
CLI040,2026-02,Feb,10497,6375,4122,4885,0,0.0,551,0
CLI040,2026-03,Mar,10185,7401,2784,5162,0,0.0,555,0
CLI040,2026-04,Abr,10414,6368,4046,5564,0,0.0,557,0
CLI040,2026-05,May,10569,6395,4175,5979,0,0.0,561,0
CLI040,2026-06,Jun,10426,7509,2917,6269,0,0.0,566,0
CLI040,2026-07,Jul,10490,7183,3308,6598,0,0.0,572,0
CLI040,2026-08,Ago,10324,6906,3418,6938,0,0.0,575,0
CLI041,2026-01,Ene,51514,41828,9687,3630,86661,57.8,754,0
CLI041,2026-02,Feb,52893,45308,7585,3862,87567,58.4,759,0
CLI041,2026-03,Mar,51520,43213,8308,4115,85948,57.3,764,0
CLI041,2026-04,Abr,52558,40380,12178,4487,82711,55.2,767,0
CLI041,2026-05,May,52174,43770,8405,4744,80554,53.7,771,0
CLI041,2026-06,Jun,50642,40302,10340,5059,77065,51.4,776,0
CLI041,2026-07,Jul,50881,40560,10321,5374,76686,51.2,777,0
CLI041,2026-08,Ago,52028,43092,8936,5647,73456,49.0,782,0
CLI042,2026-01,Ene,12972,9854,3118,8874,7443,55.6,669,0
CLI042,2026-02,Feb,13256,9526,3730,9357,7637,57.0,673,0
CLI042,2026-03,Mar,12916,9601,3316,9787,8071,60.2,677,0
CLI042,2026-04,Abr,13627,10349,3279,10211,7736,57.8,678,0
CLI042,2026-05,May,12995,10776,2219,10498,7553,56.4,676,0
CLI042,2026-06,Jun,12983,9757,3225,10916,7724,57.7,674,0
CLI042,2026-07,Jul,13565,10533,3033,11309,7925,59.2,678,0
CLI042,2026-08,Ago,13300,10357,2943,11690,7890,58.9,675,0
CLI043,2026-01,Ene,19940,11541,8398,538,14538,32.2,663,0
CLI043,2026-02,Feb,20029,11541,8488,608,14342,31.8,666,0
CLI043,2026-03,Mar,20120,11966,8154,676,14815,32.8,669,0
CLI043,2026-04,Abr,19774,10352,9423,754,15062,33.4,655,1
CLI043,2026-05,May,19835,10739,9096,830,14460,32.0,656,0
CLI043,2026-06,Jun,19574,11204,8370,899,14651,32.5,660,0
CLI043,2026-07,Jul,19688,11189,8500,970,15491,34.3,661,0
CLI043,2026-08,Ago,19684,11090,8594,1041,15073,33.4,662,0
CLI044,2026-01,Ene,26944,25989,955,6183,2458,8.2,708,0
CLI044,2026-02,Feb,25923,24695,1228,6299,2474,8.2,705,0
CLI044,2026-03,Mar,26155,23192,2963,6580,2463,8.2,703,0
CLI044,2026-04,Abr,26286,24432,1855,6755,2397,8.0,700,0
CLI044,2026-05,May,26946,23128,3818,7117,2370,7.9,699,0
CLI044,2026-06,Jun,27227,22179,5049,7594,2325,7.7,698,0
CLI044,2026-07,Jul,27019,25714,1305,7718,2209,7.3,686,1
CLI044,2026-08,Ago,26494,23893,2601,7964,2255,7.5,689,0
CLI045,2026-01,Ene,32141,23663,8479,13477,0,0.0,710,0
CLI045,2026-02,Feb,32896,25801,7094,14210,0,0.0,694,1
CLI045,2026-03,Mar,32652,24281,8372,15074,0,0.0,696,0
CLI045,2026-04,Abr,31495,24122,7373,15836,0,0.0,696,0
CLI045,2026-05,May,32676,23371,9305,16797,0,0.0,697,0
CLI045,2026-06,Jun,31234,27006,4228,17233,0,0.0,700,0
CLI045,2026-07,Jul,32325,24379,7946,18054,0,0.0,698,0
CLI045,2026-08,Ago,32151,24881,7270,18805,0,0.0,700,0
CLI046,2026-01,Ene,40516,25937,14579,12191,22851,36.8,681,0
CLI046,2026-02,Feb,42137,26178,15958,13948,21966,35.4,679,0
CLI046,2026-03,Mar,41007,27073,13933,15482,23292,37.5,676,0
CLI046,2026-04,Abr,40370,28963,11408,16738,22942,37.0,660,1
CLI046,2026-05,May,41736,26833,14903,18378,24155,38.9,653,0
CLI046,2026-06,Jun,41422,27128,14294,19952,22851,36.8,648,0
CLI046,2026-07,Jul,40975,27585,13390,21426,23878,38.5,628,1
CLI046,2026-08,Ago,41296,27756,13540,22917,24886,40.1,628,0
CLI047,2026-01,Ene,15262,12582,2680,4626,0,0.0,569,0
CLI047,2026-02,Feb,15775,13971,1804,4801,0,0.0,570,0
CLI047,2026-03,Mar,15601,13013,2588,5052,0,0.0,577,0
CLI047,2026-04,Abr,15517,13771,1745,5222,0,0.0,579,0
CLI047,2026-05,May,15215,14744,470,5267,0,0.0,584,0
CLI047,2026-06,Jun,15807,13017,2789,5538,0,0.0,589,0
CLI047,2026-07,Jul,15252,13213,2040,5736,0,0.0,592,0
CLI047,2026-08,Ago,15619,13784,1835,5914,0,0.0,599,0
CLI048,2026-01,Ene,128239,95942,32297,35645,18650,23.2,702,0
CLI048,2026-02,Feb,125145,92708,32437,39490,18638,23.2,702,0
CLI048,2026-03,Mar,128082,88020,40062,44240,19271,24.0,705,0
CLI048,2026-04,Abr,122511,84307,38204,48769,18440,22.9,711,0
CLI048,2026-05,May,125581,85605,39977,53508,17628,21.9,718,0
