categoria,producto,imagen,bullets,nombre_display,segmento,tipo_cliente,red,estatus,ingreso_min_mxn,edad,apertura_saldo,comision_admin_anual_mxn_sin_iva,cat_promedio_pct,tasa_promedio_pct,beneficios,recompensas,msi_financiamiento,seguros_protecciones,requisitos,canales,perfil_objetivo,variables_recomendacion,fuente,fecha_verificacion
Crédito personal,United Universe,/tarjetas/united-universe.png,Tu tarjeta con millas para más experiencias.,United Universe (Preferente),Premium / Millas,Persona Física / PFAE,Visa,Vigente / Preferente,50000.0,18+,,5800.0,54.8,41.84,"Bono de 35,000 millas; prioridad aeropuerto; equipaje; Visa Concierge; seguros de viaje; programa de referidos.",4 millas/USD en United; 3 millas/USD en otras compras; bono trimestral al cumplir gasto.,3/6 MSI vuelos United; 6 MSI primeros 30 días; 6 MSI extranjero; 6 MSI educación; 20 meses a tasa fija 18%.,Seguros y protecciones Visa premium; concierge; coberturas de viaje.,"PF o PFAE; 18+; buen Buró; ingreso mínimo comprobable $50,000; identificación; RFC/CURP; biométricos.",Banorte Móvil; sucursal; Banca Preferente,"Viajero premium frecuente en United/Star Alliance, con gasto internacional alto.",ingreso_mensual; viajes_anuales; gasto_united; gasto_vuelos; gasto_extranjero; preferencia_millas; patrimonio,https://www.banorte.com/Personal/TDC/United-Universe,2026-09-12
Crédito personal,Infinite,/tarjetas/infinite.png,La Tarjeta de Crédito que lo invita a disfrutar grandes experiencias. | Por invitación,Infinite (Preferente),Ultra premium,Persona Física / PFAE,Visa Infinite,Vigente / Preferente,100000.0,18 a 74 años 11 meses,,6000.0,33.5,27.72,Servicios premium Visa Infinite; viajes; compras internacionales; atención preferente; Recompensa Total.,Participa en Recompensa Total Banorte.,"6 MSI primeros 30 días; 6 MSI moneda extranjera; 6 MSI educación; 20 meses a tasa fija 18% en compras > $20,000.","Coberturas Visa Infinite, asistencias y beneficios de viaje premium.","PF o PFAE; 18-74 años 11 meses; buen Buró; ingreso mínimo $100,000; identificación; RFC/CURP; biométricos; aprobación.",Banca Preferente; Banorte Móvil; sucursal,"Cliente de muy alto ingreso/patrimonio, gasto alto y viajes frecuentes.",ingreso_mensual; patrimonio; saldo_promedio; inversiones; gasto_mensual_tarjeta; viajes_anuales; score_crediticio,https://www.banorte.com/Personal/TDC/Infinite,2026-09-12
Débito personal,Cuenta Enlace Digital,,,Cuenta Enlace Digital,Digital / Entrada,Persona Física,Visa Débito,Vigente,,Mayor de edad,Apertura $0; envío físico cuando saldo >= $100,0.0,,,Apertura 100% digital; tarjeta digital con CVV dinámico; SPEI gratis; tarjeta física a domicilio; Banorte Móvil.,Promociones Banorte según campañas.,No aplica como crédito.,Blindaje Banorte hasta 72 h antes del reporte.,"Contratación en línea; CURP; para flujos digitales puede requerir identificación/selfie; límite mensual de depósitos 3,000 UDIS.",En línea / Banorte Móvil,Cliente digital que quiere una cuenta simple sin membresía.,uso_app; transferencias_digitales; edad; saldo_promedio; preferencia_digital; transacciones_mensuales,https://www.banorte.com/Cuentas//Cuenta-Enlace-Digital,2026-09-12
Débito personal,Cuenta Enlace Personal,,,Cuenta Enlace Personal,Masivo,Persona Física,Visa Débito,Vigente,,Mayor de edad,Sin monto mínimo de apertura; membresía gratis primeros 3 meses,,,,Tarjeta digital; chequera opcional; inversión vista; retiros Banorte; domiciliación; promociones; banca digital.,Promociones Banorte.,No aplica como crédito.,Blindaje Banorte hasta 72 h.,Identificación oficial y comprobante de domicilio <=3 meses; también contratación en Banorte Móvil con identificación y selfie.,Banorte Móvil; sucursal,Cliente que busca cuenta principal con servicios completos y actividad frecuente.,saldo_promedio; compras_debito_mes; uso_app; recibe_nomina; recibe_remesas; tiene_credito; tiene_inversion,https://www.banorte.com/Cuentas/Cuenta-Enlace-Personal/,2026-09-12
Débito personal,Cuenta Banorte Fácil,,,Cuenta Banorte Fácil,Básica,Persona Física,Visa Débito,Vigente,,Mayor de edad,"Sin monto mínimo; saldo promedio mensual $1,000 para evitar cancelación al tercer mes",0.0,,,Sin manejo de cuenta; reposición gratuita según condiciones; retiros/cajeros Banorte; débito internacional.,Promociones Banorte.,No aplica como crédito.,Blindaje Banorte y protecciones de débito.,"Identificación oficial; comprobante de domicilio <=3 meses; mantener saldo promedio mínimo $1,000.",Sucursal,Cliente que prioriza simplicidad y bajo costo.,saldo_promedio; sensibilidad_comisiones; retiros_cajero; transacciones_debito; ingreso_mensual,https://www.banorte.com/Cuentas/Cuenta-Banorte-Facil/,2026-09-12
Débito personal,Cuenta Mujer Banorte,,,Cuenta Mujer Banorte,Bienestar / Asistencias,Persona Física,Mastercard Débito,Vigente,,Mayor de edad; seguro tiene límites de edad específicos,Sin monto mínimo; membresía gratis primeros 3 meses,70.0,,,"Seguro de enfermedades de la mujer/vida; asistencias hogar, médica y legal; Priceless; promociones; Recompensa Total.",Puntos Recompensa Total Banorte por compras.,No aplica como crédito.,Seguros de vida/enfermedades; asistencias; protección de débito.,Identificación oficial; comprobante de domicilio <=3 meses; requisitos de seguros sujetos a edad/condiciones.,Sucursal,"Cliente que valora protección, asistencias y recompensas en débito.",preferencia_asistencias; compras_debito_mes; uso_app; gasto_salud; preferencia_puntos; saldo_promedio,https://www.banorte.com/Personal/Cuentas/Cuenta-Mujer-Banorte.html,2026-09-12
Débito personal,Nómina Banorte / Suma Nómina,,,Nómina Banorte / Suma Nómina,Nómina,Persona Física,Visa Débito,Vigente,,Mayor de edad,Sin saldo promedio mínimo; sin apertura/manejo/anualidad,0.0,,,Tarjeta internacional; retiros Banorte ilimitados; Banorte Móvil/Banca en Línea; promociones; acceso a créditos con condiciones especiales.,Promociones Nómina Banorte.,No aplica como débito; puede habilitar acceso a ofertas de crédito.,Seguro por muerte accidental/pérdidas orgánicas; Blindaje Banorte.,Recibir sueldo en Banorte; identificación oficial; comprobante de domicilio cuando aplique; regulación/biométricos.,Empresa; Banorte Móvil; sucursal,Empleado que recibe sueldo y busca servicios bancarios integrados.,recibe_nomina; ingreso_mensual; empleador; antiguedad_nomina; uso_app; necesidad_credito,https://www.banorte.com/Personal/Nomina/Suma-Nomina.html,2026-09-12
Débito personal,Cuenta Suma Menores,,,Cuenta Suma Menores,Menores,Persona Física (menor),Débito,Vigente,,Menor de 18 años,No publicado en página consultada,,,,Compras físicas/en línea/apps; supervisión parental en Banorte Móvil; límites de compras/disposiciones; depósitos sin límite publicado.,Promociones aplicables según condiciones.,No aplica.,Blindaje Banorte para tarjeta de débito.,Acta de nacimiento del menor; identificación del padre/madre/tutor; comprobante de domicilio <=3 meses.,Sucursal,Menor de edad cuyo tutor quiere fomentar ahorro y controlar gastos.,edad; tutor_cliente; objetivo_ahorro; gasto_menor; preferencia_control_parental,https://www.banorte.com/wps/portal/banorte/Home/cuentas-y-tarjetas/tarjeta-de-debito-con-chequera/suma-menores/,2026-09-12
Débito personal,Cuenta Enlace Dólares,,,Cuenta Enlace Dólares,Dólares / Frontera,Persona Física,Visa Débito / internacional,Vigente,,Mayor de edad,Sujeto a condiciones de la cuenta,,,,Cuenta en USD; chequera opcional; transferencias en dólares; disposición en USD en cajeros señalizados; tarifa preferencial Allpoint EUA.,No es el enfoque principal.,No aplica.,Blindaje Banorte hasta 72 h.,Contratación en sucursal; documentación de identificación/domicilio y requisitos regulatorios de cuenta en dólares.,Sucursal; Banco en Línea,"Cliente con ingresos, viajes o pagos frecuentes en dólares, especialmente zona fronteriza.",gasto_usd; ingresos_usd; viajes_eua; transferencias_internacionales; residencia_fronteriza; saldo_usd,https://acceso24.banorte.com/wps/portal/banorte/Home/cuentas-y-tarjetas/tarjeta-de-debito-con-chequera/enlace-dolares-con-chequera,2026-09-12
Débito personal,Cuenta Preferente - Visa Platinum Débito,,,Cuenta Preferente - Visa Platinum Débito,Premium / Patrimonial,Persona Física,Visa Platinum Débito,Vigente / Preferente,100000.0,Mayor de edad,Sin monto mínimo de apertura; segmentación Preferente por criterios,,,,Visa Platinum Débito; reposición anual sin costo; Inversión Vista Preferente; atención preferente; asistencias y seguros.,Beneficios/promociones Visa y Banorte Preferente.,No aplica como crédito.,Blindaje 72 h; seguro muerte accidental/pérdidas orgánicas; asistencias hogar/médica/legal/vial.,"Identificación; domicilio <=3 meses; ser Preferente por saldo integral >=$500,000, gasto Platinum/Infinite >=$25,000/mes, hipoteca >$4M, auto >$500k o ingresos >$100,000.",Sucursal; ejecutivo de relación,Cliente patrimonial de alto saldo/ingreso que valora servicio preferente y protecciones.,ingreso_mensual; saldo_integral; inversiones; patrimonio; gasto_tarjetas_premium; credito_hipotecario; credito_auto,https://www.banorte.com/Preferente/Cuenta-Banca-Preferente/Cuenta-Preferente,2026-09-12
Crédito empresarial,Crédito Empuje Negocios,,,Crédito Empuje Negocios,PyME,PFAE / Persona Moral,Visa,Vigente,,PF: criterios del producto; página histórica indica 30-65,"Línea $30,000-$500,000",750.0,,29.9,Hasta 3 tarjetas adicionales sin costo; banca electrónica; protección de compras; asistencia legal; uso internacional.,Puntos Recompensa Total Banorte.,10 MSI primer día de compras; campañas 6/9/12 MSI pueden aplicar.,Protección de compras; asistencia legal Visa.,PFAE/PM; solicitud; domicilio; identificación; RFC/constancia fiscal; última declaración anual; PM: acta/poderes; sujeto a crédito.,Sucursal / ejecutivo PyME,Micro/pequeña empresa que quiere concentrar gastos y controlar tarjetas adicionales.,tipo_cliente; ventas_mensuales; antiguedad_negocio; flujo_caja; gasto_operativo; score_crediticio_empresa; tarjetas_adicionales,https://www.banorte.com/Pyme/Financiamiento/Credito-Empuje-Negocios.html,2026-09-12
Crédito empresarial,Crédito Negocios y Empresas,,,Crédito Negocios y Empresas,PyME consolidada,PFAE / Persona Moral,Mastercard,Vigente,,N/A para PM; PFAE sujeto a evaluación,"Línea $30,000-$3,000,000",,,,Crédito revolvente; renovación anual; tarjeta titular/adicionales; límites por plástico; disposiciones 24x7; herramientas Mastercard.,Easy Savings y Aliados Digitales; no es programa de puntos principal.,Sujeto a promociones y condiciones empresariales.,"Garantía extendida; protección hurto/daño; asalto en cajero, con límites publicados.","PFAE/PM; 2 años de registro en Hacienda; saldo promedio mínimo $20,000; solicitud; Buró; RFC; identificación; estados de cuenta si >$300k; documentación legal.",Sucursal / ejecutivo PyME,PyME con mayor volumen que necesita capital de trabajo y varias tarjetas.,ventas_anuales; antiguedad_negocio; saldo_promedio_empresa; capital_trabajo; gasto_operativo; score_empresa; monto_solicitado,https://www.banorte.com/PyME/Financiamiento/Credito-Negocios-y-Empresas,2026-09-12
Crédito empresarial,Tarjeta Corporativa,,,Tarjeta Corporativa,Corporativo / Gobierno,Persona Moral / Corporativo,Visa,Vigente,,,Línea de crédito corporativa según evaluación,650.0,36.3,30.71,Control de línea por empleado; gastos de viaje/representación; facturación corporativa; soporte especializado.,Beneficios Visa corporativos.,Crédito revolvente; condiciones corporativas.,Relevo de responsabilidad hasta USD 15k; renta de autos; demora/pérdida equipaje; accidentes en viajes hasta USD 250k.,"Dirigida a grandes empresas, corporativos y dependencias de gobierno; contratación y línea sujetas a evaluación empresarial.",Ejecutivo Empresas / sucursal,Empresa grande que necesita controlar gastos de viaje y representación de múltiples empleados.,tamano_empresa; gasto_viajes; numero_empleados_con_tarjeta; gasto_representacion; volumen_facturacion; necesidad_control,https://www.banorte.com/Empresas/Financiamiento/Tarjetas-de-Credito/Tarjeta-corporativa,2026-09-12
Débito empresarial,Enlace Negocios Básica,,,Enlace Negocios Básica,PyME,PFAE / Persona Moral,Visa Electrón Débito,Vigente,,N/A / PFAE mayor de edad,"Apertura $10,000; exención membresía con saldo promedio $150,000",,,,Banca electrónica; 50 dispersiones nómina y 50 TEF gratis/mes; hasta 5 tarjetas; inversión enlace; estados de cuenta BEM.,No es enfoque principal.,No aplica.,Blindaje Banorte para tarjeta de débito.,"PM: acta, RFC/Hacienda, e.firma, poderes, identificación representante, domicilio; PFAE: identificación, domicilio, RFC/Hacienda; apertura $10,000.",Sucursal / PyME,Empresa con volumen medio de operaciones que requiere banca y tarjetas de débito empresariales.,tipo_cliente; transacciones_empresa; nomina_empleados; saldo_promedio_empresa; cheques_mes; transferencias_mes,https://www.banorte.com/PyME/Cuentas-e-Inversion/Cuentas-en-Pesos/Enlace-Negocios-Basica,2026-09-12
Débito empresarial,Enlace Negocios Avanzada,,,Enlace Negocios Avanzada,PyME alta operación,PFAE / Persona Moral,Visa Electrón Débito,Vigente,,N/A / PFAE mayor de edad,"Apertura $10,000; exención membresía con saldo promedio $200,000",,,,SPEI/TEF ilimitados gratis; nómina batch ilimitada; cheques según saldo; hasta 5 tarjetas; banca electrónica e inversión enlace.,No es enfoque principal.,No aplica.,Blindaje Banorte para tarjeta de débito.,"PM/PFAE; apertura $10,000; documentación fiscal/legal; domicilio; identificación; e.firma/poderes para PM.",Sucursal / PyME,"Empresa con alto volumen de transferencias, nómina y cheques.",transferencias_mes; dispersiones_nomina; cheques_mes; saldo_promedio_empresa; numero_empleados; volumen_operacion,https://www.banorte.com/PyME/Cuentas-e-Inversion/Cuentas-en-Pesos/Enlace-Negocios-Avanzada,2026-09-12
Débito empresarial,Enlace Negocios PFAE,,,Enlace Negocios PFAE,PFAE / Profesionista,PFAE,Débito empresarial,Vigente,,Mayor de edad,Monto mínimo de apertura sujeto a producto,,,,SPEI/TEF ilimitados; banca electrónica; inversión enlace; cheque opcional; pagos proveedores; TPV; enlace de cuentas; depósitos remotos.,No es enfoque principal.,No aplica.,"Blindaje a tarjeta de débito con protección publicada hasta $20,000.",PFAE; identificación; domicilio; RFC; alta Hacienda; cédula fiscal; extranjeros: pasaporte y formas migratorias.,Sucursal / PyME,Profesionista o PFAE que necesita separar y administrar finanzas del negocio.,tipo_cliente; ventas_mensuales; transferencias_mes; pagos_proveedores; usa_tpv; saldo_promedio_empresa,https://www.banorte.com/PyME/Cuentas-e-Inversion/Cuentas-en-Pesos//Enlace-Negocios-PFAE,2026-09-12
