cliente_id,tipo_cliente,edad,sexo,estado_civil,numero_dependientes,nivel_educativo,estado_residencia,tipo_localidad,situacion_laboral,sector_actividad,antiguedad_laboral_o_negocio_anios,ingreso_mensual_mxn,ventas_mensuales_mxn,gastos_mensuales_mxn,capacidad_ahorro_mensual_mxn,antiguedad_cliente_anios,numero_productos_bancarios,tiene_cuenta_debito,tiene_tarjeta_credito,tiene_credito_personal,tiene_credito_automotriz,tiene_credito_hipotecario,tiene_credito_empresarial,tiene_inversiones,saldo_promedio_cuenta_mxn,saldo_tarjeta_credito_mxn,limite_credito_mxn,tiene_historial_crediticio,antiguedad_historial_crediticio_anios,score_crediticio,clasificacion_crediticia,creditos_activos,creditos_liquidados,pagos_atrasados_ultimos_12_meses,atraso_maximo_dias,tiene_creditos_vencidos,saldo_total_deuda_mxn,porcentaje_utilizacion_credito,consultas_crediticias_ultimos_12_meses,reestructuracion_deuda_previa,incumplimiento_crediticio_previo,nivel_riesgo_crediticio,transacciones_mensuales,gasto_mensual_tarjeta_mxn,porcentaje_uso_limite_credito,meses_con_saldo_vencido,nivel_ahorro,perfil_financiero,nivel_endeudamiento,usa_app_movil,sesiones_app_por_mes,transferencias_digitales_mes,pagos_servicios_app_mes,retiros_cajero_mes,visitas_sucursal_mes,canal_preferido,nivel_experiencia_digital,contactos_soporte_ultimos_6_meses,problema_mas_frecuente,satisfaccion_cliente,nps,considera_cambiar_banco,principal_objetivo_financiero,producto_interes,prefiere_atencion_personalizada
CLI022,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Baja California,Urbana,Empresario,Alimentos,6,No aplica,306879,242738,64141,2,4,Sí,Sí,No,Sí,No,No,Sí,85175,272082,479127,Sí,1,687,Buena,2,1,1,60,No,342679,56.8,2,No,No,Bajo,46,254297,56.8,1,Medio,Moderado,Medio,No,0,1,2,5,5,Sucursal,Medio,2,Aclaraciones,6,4,No,Ahorrar,Seguro,Sí
CLI023,Persona Física,47,Otro/Prefiere no decir,Casado,0,Preparatoria,Sinaloa,Urbana,Empleado,Salud,0,10708,No aplica,8993,1715,0,2,Sí,Sí,No,No,No,No,No,10949,4988,18514,Sí,9,671,Buena,2,1,0,0,No,84835,26.9,1,No,No,Bajo,22,7663,26.9,0,Medio,Moderado,Alto,Sí,14,4,2,0,0,App móvil,Medio,2,Transferencias,5,6,Sí,Comprar automóvil,Hipoteca,Sí
CLI024,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Oaxaca,Urbana,Empresario,Manufactura,25,No aplica,792346,714945,77401,3,1,No,No,No,No,No,Sí,No,245625,0,0,Sí,6,773,Excelente,1,4,0,0,No,15954,0.0,1,No,No,Bajo,33,0,0.0,1,Medio,Moderado,Bajo,Sí,7,5,6,0,0,App móvil,Bajo,1,Acceso a cuenta,6,6,No,Pagar deudas,Ninguno,Sí
CLI025,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Morelos,Suburbana,Empresario,Comercio,2,No aplica,1931898,1295257,636641,2,2,Sí,No,No,No,No,No,Sí,43886,0,0,Sí,5,698,Buena,2,6,1,15,No,71184,0.0,4,No,No,Bajo,32,0,0.0,1,Alto,Conservador,Bajo,Sí,10,6,4,1,1,Cajero,Bajo,2,Tarjeta,8,7,No,Ahorrar,Crédito empresarial,No
CLI026,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Coahuila,Suburbana,Empresario,Salud,2,No aplica,36645,29268,7377,0,4,Sí,Sí,No,No,No,Sí,Sí,29174,11198,61654,Sí,1,693,Buena,2,0,0,0,No,33534,18.2,1,No,No,Bajo,43,18514,18.2,1,Medio,Moderado,Bajo,Sí,9,5,1,2,0,Web,Alto,1,App,7,8,No,Ahorrar,Inversión,Sí
CLI027,Persona Física,48,Masculino,Soltero,1,Secundaria,Oaxaca,Urbana,Empleado,Salud,1,19174,No aplica,10795,8379,10,1,Sí,No,No,No,No,No,No,19161,0,0,Sí,4,737,Buena,0,1,0,0,No,0,0.0,1,No,No,Bajo,15,0,0.0,0,Alto,Conservador,Bajo,No,0,1,0,3,3,Cajero,Alto,1,Transferencias,6,5,Sí,Ahorrar,Ninguno,No
CLI028,Persona Física,61,Femenino,Soltero,1,Universidad,Baja California,Urbana,Empleado,Salud,2,34955,No aplica,26463,8492,0,2,Sí,No,No,No,Sí,No,No,10367,0,0,Sí,1,686,Buena,2,0,1,15,No,53095,0.0,1,No,No,Bajo,9,0,0.0,0,Medio,Conservador,Medio,No,0,3,1,6,0,Atención telefónica,Alto,0,Ninguno,6,5,No,Crear fondo de emergencia,Hipoteca,Sí
CLI029,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Tabasco,Urbana,Empresario,Logística,17,No aplica,86272,73564,12708,4,3,Sí,Sí,No,No,No,No,Sí,20781,319723,500000,Sí,7,742,Buena,3,1,0,0,No,411163,63.9,0,No,No,Bajo,37,346603,63.9,0,Medio,Dinámico,Alto,Sí,14,7,5,2,0,App móvil,Medio,1,Créditos,6,7,No,Expandir negocio,Cuenta de ahorro,No
CLI030,Persona Física,48,Femenino,Casado,1,Secundaria,Durango,Urbana,Desempleado,Tecnología,0,1221,No aplica,961,260,1,2,Sí,Sí,No,No,No,No,No,820,5258,8448,Sí,2,683,Buena,1,1,1,15,No,24200,62.2,1,No,No,Bajo,19,2043,62.2,0,Medio,Dinámico,Alto,No,0,0,2,5,1,Cajero,Bajo,2,Créditos,6,5,No,Viajar,Hipoteca,No
CLI031,Persona Física,37,Masculino,Casado,1,Universidad,Sinaloa,Urbana,Empleado,Construcción,1,28207,No aplica,26645,1562,13,1,Sí,No,No,No,No,No,No,21598,0,0,Sí,4,712,Buena,1,0,1,15,No,27917,0.0,2,No,No,Medio,11,0,0.0,0,Bajo,Dinámico,Bajo,Sí,17,8,7,2,1,App móvil,Alto,3,App,6,7,No,Comprar automóvil,Inversión,No
CLI032,Persona Física,57,Femenino,Viudo,2,Posgrado,Puebla,Urbana,Empleado,Logística,3,15618,No aplica,13699,1919,1,4,Sí,Sí,Sí,No,No,No,Sí,5002,7239,21280,No,0,509,Baja,0,0,0,0,No,7239,34.0,0,No,No,Medio,10,11012,34.0,0,Medio,Conservador,Bajo,Sí,8,7,1,2,1,App móvil,Medio,2,Tarjeta,3,1,No,Viajar,Hipoteca,No
CLI033,Persona Física,39,Femenino,Casado,1,Preparatoria,Tabasco,Urbana,Independiente,Salud,10,5751,No aplica,4567,1184,5,0,No,No,No,No,No,No,No,2906,0,0,Sí,3,756,Excelente,0,0,1,15,No,0,0.0,1,No,No,Bajo,18,0,0.0,0,Medio,Conservador,Bajo,Sí,20,8,5,0,1,App móvil,Alto,1,Acceso a cuenta,7,8,No,Comprar automóvil,Crédito personal,Sí
CLI034,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Yucatán,Suburbana,Empresario,Educación,3,No aplica,423021,266769,156252,0,1,Sí,No,No,No,No,No,No,414506,0,0,Sí,5,807,Excelente,0,3,0,0,No,0,0.0,2,No,No,Bajo,30,0,0.0,0,Alto,Conservador,Bajo,Sí,8,3,2,1,1,Cajero,Bajo,3,Tarjeta,5,4,No,Invertir,Ninguno,No
CLI035,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Coahuila,Rural,Empresario,Construcción,10,No aplica,1689308,1265064,424244,0,3,Sí,Sí,No,No,No,Sí,No,868953,138502,500000,Sí,2,719,Buena,1,0,1,15,No,160777,27.7,4,No,No,Bajo,30,110121,27.7,1,Alto,Moderado,Bajo,No,0,1,0,2,3,Web,Alto,1,Créditos,8,9,No,Capital de trabajo,Cuenta de ahorro,No
CLI036,Persona Física,40,Femenino,Casado,3,Universidad,Veracruz,Suburbana,Independiente,Comercio,16,26273,No aplica,18450,7823,8,1,Sí,No,No,No,No,No,No,8930,0,0,Sí,11,645,Regular,0,4,3,60,Sí,0,0.0,1,Sí,Sí,Alto,18,0,0.0,2,Alto,Conservador,Bajo,Sí,21,5,4,0,1,Atención telefónica,Alto,0,Ninguno,5,4,No,Comprar automóvil,Hipoteca,No
CLI037,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Michoacán,Rural,Empresario,Salud,2,No aplica,170753,119023,51730,0,4,Sí,Sí,No,Sí,No,No,Sí,46047,255307,255307,No,0,499,Baja,0,0,0,0,No,255307,100.0,0,No,No,Alto,34,96447,100.0,1,Alto,Moderado,Alto,Sí,13,2,2,1,0,Atención telefónica,Bajo,5,Créditos,6,4,No,Pagar deudas,Crédito empresarial,Sí
CLI038,Persona Física,69,Femenino,Casado,1,Universidad,Estado de México,Urbana,Independiente,Servicios,4,18676,No aplica,15780,2896,3,3,Sí,Sí,Sí,No,No,No,No,3385,3502,11068,Sí,4,449,Baja,1,2,7,90,No,31670,31.6,4,No,Sí,Alto,11,2099,31.6,0,Medio,Moderado,Medio,Sí,6,2,1,1,0,Cajero,Medio,1,Acceso a cuenta,7,6,Sí,Comprar automóvil,Inversión,Sí
CLI039,Persona Física,20,Femenino,Soltero,0,Universidad,Aguascalientes,Rural,Empleado,Gobierno,1,47753,No aplica,38011,9742,2,1,Sí,No,No,No,No,No,No,25298,0,0,Sí,1,745,Buena,1,0,2,30,No,15515,0.0,3,No,No,Medio,14,0,0.0,0,Medio,Moderado,Bajo,Sí,14,6,11,3,0,App móvil,Alto,0,Ninguno,8,9,No,Comprar vivienda,Ninguno,No
CLI040,Persona Física,40,Femenino,Casado,3,Secundaria,Jalisco,Suburbana,Empresario,Educación,4,10324,No aplica,6906,3418,3,1,No,No,Sí,No,No,No,No,6938,0,0,No,0,575,Regular,0,0,0,0,No,0,0.0,1,No,No,Medio,11,0,0.0,1,Alto,Conservador,Bajo,Sí,13,5,3,2,0,Web,Alto,1,Tarjeta,9,9,No,Comprar automóvil,Cuenta de ahorro,Sí
CLI041,Persona Física,43,Femenino,Soltero,0,Preparatoria,Guanajuato,Urbana,Empresario,Alimentos,3,52028,No aplica,43092,8936,0,3,Sí,Sí,Sí,No,No,No,No,5647,73456,149804,Sí,9,782,Excelente,2,0,0,0,No,83788,49.0,3,No,No,Bajo,22,87446,49.0,0,Medio,Moderado,Medio,No,0,1,0,1,1,Sucursal,Medio,4,Créditos,7,8,No,Emprender,Seguro,No
CLI042,Persona Física,48,Femenino,Casado,0,Secundaria,Ciudad de México,Rural,Independiente,Construcción,3,13300,No aplica,10357,2943,4,2,Sí,Sí,No,No,No,No,No,11690,7890,13389,Sí,3,675,Buena,0,1,0,0,No,7890,58.9,3,No,No,Bajo,18,2601,58.9,0,Medio,Moderado,Medio,Sí,11,5,3,1,0,App móvil,Alto,1,Créditos,8,7,No,Invertir,Inversión,Sí
CLI043,Persona Física,61,Femenino,Casado,0,Universidad,Veracruz,Urbana,Empleado,Servicios,4,19684,No aplica,11090,8594,0,2,Sí,Sí,No,No,No,No,No,1041,15073,45160,Sí,3,662,Buena,2,1,1,60,No,66104,33.4,1,No,Sí,Medio,12,12370,33.4,0,Alto,Dinámico,Alto,Sí,9,6,3,2,0,App móvil,Medio,1,Tarjeta,10,9,No,Viajar,Ninguno,No
CLI044,Persona Física,33,Femenino,Casado,1,Universidad,Ciudad de México,Rural,Empleado,Construcción,4,26494,No aplica,23893,2601,8,2,Sí,Sí,No,No,No,No,No,7964,2255,30019,Sí,15,689,Buena,0,5,1,60,No,2255,7.5,4,No,No,Bajo,17,13303,7.5,0,Medio,Moderado,Bajo,Sí,15,6,4,1,2,Sucursal,Medio,3,Tarjeta,5,6,Sí,Pagar deudas,Hipoteca,No
CLI045,Persona Física,37,Femenino,Casado,0,Secundaria,Guanajuato,Suburbana,Independiente,Manufactura,0,32151,No aplica,24881,7270,3,2,Sí,No,No,No,Sí,No,No,18805,0,0,Sí,1,700,Buena,3,0,1,90,No,63857,0.0,3,No,No,Bajo,16,0,0.0,0,Medio,Dinámico,Medio,Sí,16,5,6,1,1,App móvil,Alto,0,Ninguno,6,7,No,Emprender,Inversión,Sí
CLI046,Persona Física,33,Masculino,Soltero,1,Universidad,Tabasco,Urbana,Independiente,Logística,4,41296,No aplica,27756,13540,1,3,Sí,Sí,No,No,Sí,No,No,22917,24886,62085,Sí,11,628,Regular,3,5,3,15,Sí,66322,40.1,0,No,No,Alto,21,9927,40.1,4,Alto,Moderado,Medio,Sí,18,4,4,1,2,App móvil,Medio,3,Acceso a cuenta,6,7,No,Crear fondo de emergencia,Tarjeta de crédito,No
CLI047,Persona Física,31,Masculino,Unión libre,0,Universidad,Zacatecas,Urbana,Empleado,Alimentos,5,15619,No aplica,13784,1835,4,1,Sí,No,No,No,No,No,No,5914,0,0,No,0,599,Regular,0,0,0,0,No,0,0.0,0,No,No,Medio,18,0,0.0,0,Medio,Moderado,Bajo,Sí,12,9,8,1,0,App móvil,Alto,0,Ninguno,8,7,Sí,Viajar,Cuenta de ahorro,No
CLI048,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Jalisco,Urbana,Empresario,Salud,29,No aplica,125283,88453,36830,3,3,Sí,Sí,No,No,No,Sí,No,66168,15918,80361,Sí,3,726,Buena,1,0,0,0,No,53392,19.8,1,No,No,Bajo,30,17085,19.8,0,Alto,Moderado,Bajo,Sí,10,5,5,3,1,App móvil,Medio,0,Ninguno,10,10,No,Capital de trabajo,Cuenta de ahorro,Sí
CLI049,Persona Física,31,Masculino,Divorciado,1,Universidad,Tabasco,Suburbana,Independiente,Alimentos,3,6151,No aplica,3680,2471,2,1,Sí,No,No,No,No,No,No,1272,0,0,No,0,551,Regular,0,0,0,0,No,0,0.0,1,No,No,Medio,20,0,0.0,0,Alto,Conservador,Bajo,Sí,19,6,0,1,0,App móvil,Alto,1,Tarjeta,6,6,Sí,Comprar vivienda,Hipoteca,No
CLI050,Persona Física,26,Femenino,Soltero,0,Universidad,Ciudad de México,Urbana,Empresario,Alimentos,8,66490,No aplica,54987,11503,2,3,Sí,Sí,No,No,No,No,Sí,34425,14888,43854,No,0,597,Regular,0,0,0,0,No,14888,33.9,0,No,No,Medio,17,20620,33.9,0,Medio,Moderado,Bajo,Sí,15,6,1,2,0,App móvil,Alto,1,App,8,10,No,Crear fondo de emergencia,Seguro,Sí
CLI051,Persona Moral,No aplica,No aplica,No aplica,No aplica,No aplica,Morelos,Urbana,Empresario,Educación,5,No aplica,2149028,1386073,762955,3,2,Sí,No,No,No,No,Sí,No,546259,0,0,No,0,582,Regular,0,0,0,0,No,0,0.0,0,No,No,Bajo,33,0,0.0,1,Alto,Conservador,Bajo,No,0,0,1,6,3,Cajero,Medio,1,Aclaraciones,7,9,No,Invertir,Crédito empresarial,Sí
CLI052,Persona Física,71,Femenino,Casado,3,Posgrado,Yucatán,Urbana,Empresario,Servicios,2,22317,No aplica,20901,1416,3,1,Sí,No,No,No,No,No,No,4109,0,0,Sí,3,626,Regular,0,1,1,30,No,0,0.0,4,Sí,No,Bajo,18,0,0.0,0,Bajo,Moderado,Bajo,Sí,12,6,2,2,2,Web,Bajo,4,App,6,7,No,Comprar vivienda,Seguro,No
CLI053,Persona Física,37,Masculino,Soltero,1,Preparatoria,Sinaloa,Urbana,Desempleado,Construcción,0,3533,No aplica,2576,957,3,2,Sí,No,Sí,No,No,No,No,2196,0,0,Sí,1,690,Buena,2,0,1,60,No,21592,0.0,2,No,No,Medio,20,0,0.0,0,Alto,Dinámico,Alto,Sí,16,7,2,1,0,App móvil,Alto,0,Ninguno,4,4,No,Comprar automóvil,Seguro,No
CLI054,Persona Física,40,Femenino,Unión libre,2,Universidad,Querétaro,Urbana,Independiente,Construcción,0,14647,No aplica,10416,4231,1,2,Sí,Sí,No,No,No,No,No,2912,6251,11249,No,0,549,Baja,0,0,0,0,No,6251,55.6,2,No,No,Medio,20,7185,55.6,0,Alto,Moderado,Medio,Sí,11,6,4,1,0,Web,Medio,1,Acceso a cuenta,5,4,No,Comprar automóvil,Ninguno,Sí
CLI055,Persona Física,56,Masculino,Casado,0,Posgrado,Hidalgo,Urbana,Empleado,Tecnología,4,24490,No aplica,21691,2799,0,4,Sí,No,Sí,Sí,Sí,No,No,10200,0,0,No,0,526,Baja,0,0,0,0,No,0,0.0,0,No,No,Medio,15,0,0.0,0,Medio,Dinámico,Bajo,Sí,12,8,2,2,0,Sucursal,Bajo,1,Créditos,8,6,No,Viajar,Tarjeta de crédito,Sí
CLI056,Persona Física,20,Otro/Prefiere no decir,Soltero,0,Secundaria,Tamaulipas,Urbana,Desempleado,Servicios,0,2609,No aplica,1869,740,2,2,Sí,Sí,No,No,No,No,No,803,7843,9015,No,0,549,Baja,0,0,0,0,No,7843,87.0,1,No,No,Alto,16,3311,87.0,0,Alto,Dinámico,Alto,Sí,12,3,2,1,0,App móvil,Alto,3,Créditos,7,7,No,Viajar,Tarjeta de crédito,No
CLI057,Persona Física,40,Masculino,Casado,2,Universidad,Veracruz,Urbana,Empleado,Tecnología,7,38175,No aplica,32798,5377,3,2,Sí,Sí,No,No,No,No,No,7872,18189,44681,Sí,3,666,Buena,0,1,0,0,No,18189,40.7,1,No,Sí,Medio,22,16482,40.7,0,Medio,Conservador,Medio,Sí,5,4,7,1,0,Web,Alto,2,App,7,7,No,Ahorrar,Inversión,No
